platform,komentar,timestamp
YouTube,Hati mu sangat bersih dan besar bang  Kata2 mu dan sikapmu menunjukkan kasih Kristus  Tuhan Yesus selalu menyertai dan memberkati  Sangat terberkati  Mejuah juah ,2026-04-18 12:13:34
YouTube,Rencana tuhan adalah membongkar para penjahat keadilan,2026-04-18 12:13:34
YouTube,"Baik lho  bang Amsal ini, semoga perjuangan nya membuahkan hasil, demi kebaikan di negri ini. Semoga di berkati.",2026-04-18 12:13:34
YouTube,Sebagai istri org karo .. aku sangat tahu .. org karo sbnrnya sangat cinta dgn adat istiadat nya .  Dan mereka gk mau sejarah mereka hilang .. krn mereka sgt menghargai sejarah suku mereka .. keren bgt bang Amsal klo bs semua kabupaten karo bs mendokumentasikan sejarah setiap daerah ..,2026-04-18 12:13:34
YouTube,Sumut memang separah itu. Bergeraklah kpk.,2026-04-18 12:13:34
YouTube,Pertolongan Tuhan Yesus tepat pada waktunya,2026-04-18 12:13:34
YouTube,"Teruntuk amsal Sitepu, anda sudah banyak sekali dukungan, sudah mendapatkan keadilan, rakyat sudah mengetahui rusaknya kejaksaan, dan aparat Kejari pun sudah di antar Kejati Sumut ke Kejagung jangan mau di undang lagi ke podcast,takut nya masyarakat menjadi apatis. Merdeka!",2026-04-18 12:13:34
YouTube,Harusnya dlm pendidikan penegak hukum ada masa orientasi selama seminggu hidup bersama para tahanan. Biar mereka tahu susahnya hidup dipenjara & mereka tak semena mena memenjarakan orang tak bersalah,2026-04-18 12:13:34
YouTube,"Gila sih, bagaimana bisa seorang auditor atau jaksa menilai proses kreatif seperti dabbing dan konsep itu harganya nol? Kalau memang menganggap editing itu gratis, kenapa tidak dikerjakan sendiri saja dari awal?",2026-04-18 12:13:34
YouTube,Bayangin seberapa banyak orang2 kaya beliau yg masih ada di dalam sana karna gak viral spt ini,2026-04-18 12:13:34
YouTube,Selama kita benar Tuhan pasti bersama kita,2026-04-18 12:13:34
YouTube,Terima kasih bang densu...sudah menghadirkan bang amsal sitepu jdi kami belajar...dan ada pelajaran yg baik ....biarlah penegakan hukum di indo ini makin tranprn.tidak malu mengakui kekeliruan.untuk perbaikan kedepan,2026-04-18 12:13:34
YouTube,"alhamdulillah udah bebas! miris banget, tapi ini juga pengalihan isu air keras",2026-04-18 12:13:34
YouTube,"Najis banget itu tim kejaksaan. Pasang muka baik, begitu keinginannya nggak terpenuhi langsung fitnah orang sembarangan. Ya Allah dzalimnya.",2026-04-18 12:13:34
YouTube,Aku ngikutin abg ini dr sbelum di tahan.. kasian bgt dia.. puji Tuhan sekrg ada titik terang,2026-04-18 12:13:34
YouTube,Harus ada efek jera.....supaya tidak terulang..rakyat yg menderita... Ditindas bangsa sendiri(pejabat/penguasa),2026-04-18 12:13:34
YouTube,"Jaksanya sdg mencari mangsa agar terlihat namanya  melejit,maklum jaksa baru hrs ada yg d korbankan agar dpt nama",2026-04-18 12:13:34
YouTube,"Jadi siap² yg bekerja sama dengan pemerintah konoha siap saja nanti di ""Kriminalisasi"" bukan sekarang tapi nanti sewaktu².",2026-04-18 12:13:34
YouTube,"Dari sini kita bisa belajar bahwa pengetahuan yang kita punya bisa menentang dan melawan oknum yg suka memainkan undang undang dan hukum di negara ini, agar bisa melawan oknum yang tidak bertanggung jawab di negri Indonesia 🇮🇩 tercinta ini , kita harus lebih pintar mulai sekarNg, semangat anak anak Indonesia ",2026-04-18 12:13:34
YouTube,Terlihat jelas abang ini bukan sekedar cerdas tapi abang ini orang baik dan jujur. Penjara tempat orang kalah yg belum tentu bersalah. Keren bang  GBU Amsal Sitepu.,2026-04-18 12:13:34
YouTube,"Ini salah satu contoh dari kasus di masyarakat. Ada org yg diminta menghitung sesuatu yg bukan kompetensinya sehingga mengakibatkan hasil yg buruk. Jgn lupa byk juga Pejabat di atas sana yg gak sesuai kompetensinya makanya nih negara gak maju2. Coba aja kayak Canada, Menterinya rata2 lulusan yg sesuai bidangnya saat mereka jadi Menteri.",2026-04-18 12:13:34
YouTube,"Bang Den, Sebelum Kasus Amsal ini banyak kasus kasus yang dibuat oleh kejaksaan, dengan mengkambing hitamkan seseorang. CONTOH KASUS Kadis Kehutanan Humbanghasudutan, awal mulanya bukan karena korupsi namun karena kebencian dari Istri Kejaksaan karena ditegor oleh Dinas Kehutanan agar tidak membuat lingkungan kotor. Karena kebencian istri dari dari individu kejaksaan, segala hal cara dicari untuk menjebloskan kadis kehutanan humbanghas. TRUE STORY BANG DEN.",2026-04-18 12:13:34
